1.000, 1.000, 1.000
0.730, 0.108, 1.752
0.730, 0.108, 1.752
0.730, 0.108, 1.752
0.730, 0.108, 1.752
0.890, 0.335, 0.893
1.226, 0.119, -0.198
1.226, 0.119, -0.198
1.226, 0.119, -0.198
0.591, 0.834, -1.032
1.189, -0.099, -0.805
1.189, -0.099, -0.805
-0.018, 0.330, 0.171
-0.331, 1.179, -0.428
0.012, 1.524, -0.900
0.730, 1.445, -1.237
1.577, 0.498, -0.297
1.577, 0.498, -0.297
1.577, 0.498, -0.297
0.837, 0.047, -0.421
1.110, -0.569, 0.337
1.110, -0.569, 0.337
1.110, -0.569, 0.337
0.869, -0.870, 0.732
0.869, -0.870, 0.732
1.102, -1.102, -0.359
0.561, -0.987, 0.415
0.561, -0.987, 0.415
0.561, -0.987, 0.415
0.811, 0.066, 0.089
-0.337, -0.297, 0.000
-0.349, -1.050, -0.115
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.177, -0.070, 1.096
-0.800, -0.959, 0.571
-0.800, -0.959, 0.571
-1.157, -0.402, 1.044
-1.157, -0.402, 1.044
-1.157, -0.402, 1.044
-1.277, -0.272, 1.171
-1.277, -0.272, 1.171
-1.277, -0.272, 1.171
-1.380, -0.895, 0.119
-0.134, -0.551, -0.350
-0.134, -0.551, -0.350
0.957, -0.417, -0.900
0.957, -0.417, -0.900
0.957, -0.417, -0.900
0.957, -0.417, -0.900
0.402, 0.127, -0.717
0.402, 0.127, -0.717
-0.391, 0.651, -1.310
-0.391, 0.651, -1.310
-0.391, 0.651, -1.310
-0.166, 0.796, -0.877
-0.166, 0.796, -0.877
-0.166, 0.796, -0.877
0.756, 1.220, -0.274
0.714, 1.387, -1.300
0.078, 1.413, -0.772
0.078, 1.413, -0.772
0.078, 1.413, -0.772
0.078, 1.413, -0.772
0.078, 1.413, -0.772
0.078, 1.413, -0.772
0.824, 0.881, -0.715
-0.424, -0.294, -0.220
-0.424, -0.294, -0.220
0.627, -0.530, 0.156
0.627, -0.530, 0.156
0.772, 0.445, -0.380
0.772, 0.445, -0.380
-0.338, 0.229, -0.711
-1.190, -0.659, -0.335
-0.448, -1.252, 0.676
-0.448, -1.252, 0.676
-0.448, -1.252, 0.676
